rate_unemployment,percent_college,percent_married,median_income,percent_lunch,state,school_type,school_level,average_act
-1.579645295553286,-3.086370686346239,-2.6700590931040207,31599.834110027336,-1.276978831280113,TN,Regular School,High,19.2
-1.5829057916095062,-3.109969355622458,-2.7788444254187645,41207.83411002733,-1.3387083767951697,PA,Regular School,High,19.4932844932845
-1.6379138302009373,-2.652284458631203,-2.6401280693111038,52040.83411002733,-1.0804529619531769,LA,Regular School,High,19.7
-1.2717195259665661,-3.077652302744832,-3.2981402954255348,14002.834110027334,-0.7874653123478798,IL,Regular School,High,17.7
-1.588720086584191,-2.953210537861199,-2.984113641431042,39681.83411002733,-0.8628918160890798,TX,Regular School,High,21.3980463980464
-1.6085352464472789,-2.876340041391463,-2.667242047007421,70256.83411002734,-1.5166858651562989,LA,Regular School,High,20.8
-1.6507127840927498,-2.916931357356313,-2.9309857851072936,42377.83411002733,-1.3926264800090467,WI,Regular School,High,20.8
-1.549757428633355,-3.188247314579884,-3.0205460519735596,23780.834110027336,-0.9007228881054558,NJ,Regular School,High,14.047619047619
-1.654500727317212,-2.97773626810393,-2.641770972555838,43109.83411002733,-1.3013413172953128,WI,Regular School,High,20.8
-1.4911067607685362,-2.9677552623373,-2.8024043735070148,34218.83411002733,-1.3452605491332827,MI,Regular School,High,19.6
-1.6244304543968004,-3.0610660718547287,-2.6262963886602018,49946.83411002733,-1.3637954744338558,IN,Regular School,High,19.5714285714286
-1.5565090579521652,-2.918335114230552,-2.6414729968473356,29516.834110027336,-1.0510924372554928,FL,Regular School,High,18.8827838827839
-1.6405791171516009,-2.922230936101952,-2.6217150326626046,52231.83411002733,-1.4044384355395958,GA,Regular School,High,21.4224664224664
-1.6624002049329667,-2.988995062605234,-2.710503544397768,46642.83411002733,-1.3458515945244849,TX,Regular School,High,22.5213675213675
-1.5753845762399052,-2.8276797384568617,-2.8840031555774948,41199.83411002733,-1.5943938903305828,IN,Regular School,High,22.7582417582418
-1.6105670556175475,-2.8558186695183547,-2.74990124963544,57537.83411002733,-1.2885361286641197,FL,Regular School,High,19.8595848595849
-1.6376887478275075,-3.1272748910843218,-2.6707633646231677,46143.83411002733,-1.3377730774993948,IN,Regular School,High,18.1501831501831
-1.6781413507801106,-2.948846661860072,-2.667875037663662,68056.83411002734,-1.2443903317728988,OH,Regular School,High,21.0
-1.535072250482679,-2.762018196966862,-2.9359872825616216,22888.834110027336,-0.7732050627935128,IL,Regular School,High,15.0
-1.62298062985852,-3.021634488446349,-2.920179787792742,37747.83411002733,-1.4652164290930207,IN,Regular School,High,22.5409035409035
-1.5683482754191502,-2.985325752948123,-2.8010029238546346,39727.83411002733,-1.4185309244156947,WI,Regular School,High,19.7
-1.5095830300159072,-2.902267180312037,-3.186822372556757,16723.834110027336,-0.7486154110687998,GA,Regular School,High,16.6849816849817
-1.6556735615212765,-2.849518736274187,-2.7667699418575187,43284.83411002733,-1.4951685771297547,IN,Regular School,High,22.8730158730159
-1.6711333058804207,-2.937765432010265,-2.5635526749157456,73122.83411002734,-1.3429496886891967,IL,Regular School,High,20.5
-1.6317705251567076,-2.9260301730548828,-2.519437879074317,39805.83411002733,-1.3164641328886169,KY,Regular School,High,17.1
-1.53779598092874,-3.16873795049453,-2.6725478783639236,48054.83411002733,-1.3068696268103337,TX,Regular School,High,20.030525030525
-1.6155029088608468,-2.867606967725338,-2.6782857662008874,59818.83411002733,-1.6055392243559767,WI,Regular School,High,21.9
